register_id,variable_name,description_dk,description_english
FAIN,BOPIKOM,"Adressen (vej, husnummer, husbogstav, etage, side/dørnummer)","Address (road, house number, house letter, floor, side / door number)"
FAIN,CIVDATO,Civilstandsdato,Marital status date
FAIN,CIVST,Civilstand,Marital status
FAIN,C_FAELLE_ID,Partnerens Id,Partner Id
FAIN,C_FAMILIE_ID,-familie_Id,-familie_Id
FAIN,C_STATUS,C-familiestatus,C-family status
FAIN,C_TYPE,C-familie type,C-family type
FAIN,D_ANT_FAM,Antal D-familier i husstanden,Number of D families in the household
FAIN,D_FAMILIE_ID,D-familie Id,D-family Id
FAIN,D_TYPE,D-familietype,D-family type
FAIN,FAR_ID,Faderens Person Id,Father's Person Id
FAIN,FHART,Fælleshusstandsart,Communal household type
FAIN,FMMARK,Forældremarkering,Parental marking
FAIN,FODREG,Kode for fødselsregistreringssted,Code of birth registration place
FAIN,H_TYPE,Husstandstype,Household type
FAIN,INDVDATO,Indvandringsdato,Date of immigration
FAIN,KOEN,Køn,Sex
FAIN,KOM,Kommunekode,Municipal code
FAIN,MOR_ID,Moderens Person Id,Mother's Person Id
FAIN,PNR,Personnummer,Social security number
FAIN,STATSB,Statsborgerskab,Citizenship
FAIN,ALDER,,
FAIN,BOPIKOM,,
FAIN,FAR_ID,,
FAIN,H_TYPE,,
FAIN,MOR_ID,,
FAIN,STATSB,,
IEPE,CPRTJEK,CPR-tjek,CPR check
IEPE,CPRTYPE,CPR-type,CPR type
IEPE,GENERATION,Kategorisering af 2. og 3. generationsindvandrere (efter DS. definitio,Categorization of 2nd and 3rd generation immigrants (according to DS. Definitio
IEPE,IE_TYPE,"Indvandrere, efterkommere , personer med dansk oprindelse","Immigrants, descendants, persons of Danish origin"
IEPE,OPR_LAND,Oprindelsesland,Country of origin
IEPE,PNR,PNR,PNR
IEPE,VERDEL1,VERDEL1,DIVISION1
IEPE,VEST_EJ,VEST_EJ,VEST_EJ
IEPE,CPRTJEK,,
IEPE,CPRTYPE,,
IEPE,CPRTJEK,CPR-tjek,CPR check
IEPE,CPRTYPE,CPR-type,CPR type
IEPE,GENERATION,Kategorisering af 2. og 3. generationsindvandrere (efter DS. definitio,Categorization of 2nd and 3rd generation immigrants (according to DS. Definitio
IEPE,IE_TYPE,"Indvandrere, efterkommere , personer med dansk oprindelse","Immigrants, descendants, persons of Danish origin"
IEPE,OPR_LAND,Oprindelsesland,Country of origin
IEPE,PNR,PNR,PNR
IEPE,VERDEL1,VERDEL1,DIVISION1
IEPE,VEST_EJ,VEST_EJ,VEST_EJ
IEPE,CPRTJEK,,
IEPE,CPRTYPE,,
IND,ADAGP,Syge- og barselsdagpenge udbetalt af kommunerne ekskl. udbetaling til selvstændige,Sickness and maternity benefits paid by the municipalities excl. payment to the self-employed
IND,ADAGPAGN,Arbejdsgiverbetalt sygedagpenge,Employer-paid sickness benefits
IND,AEKVIVADISP_13,Ækvivaleret disponibel indkomst,Equivalent disposable income
IND,AFHFORM,Gevinst og tab ved afhændelse af formuegoder samt anden ikke specielt klassificeret kapitalindkomst. Variablen er ekskl. aktieindkomster samt kapitalindkomst i selvstændig virksomhed.,Gains and losses on disposal of assets and other unspecified capital income. The variable is excl. share income as well as capital income in self-employment.
IND,AINDK94,Løn mm. (arbejdsmarkedsbidragspligtig indkomst hvoraf der betales foreløbig skat før udbetaling),"Salary etc. (income subject to social security contributions, of which provisional tax is paid before payment)"
IND,AKAPSKL,"Anden kapitalindkomst i virksomhed end renteindtægter, excl. kapitalindkomst fra udlandet","Capital income in business other than interest income, excl. Capital income from abroad"
IND,AKIHUBS,Aktieudbytte af danske aktier hvor der er indeholdet udbyttetskat.,Share dividend on Danish shares with dividend tax included.
IND,AKIIHUBS,"Gevinst/tab på danske aktier og investeringsforeningsbeviser samt udbytte/udlodning, hvor der ikke er indeholdt udbytteskat",Gains / losses on Danish shares and investment association certificates as well as dividends / distributions where no dividend tax is included
IND,AKTIEINDK,Udbytte samt gevinst/tab på aktier og visse aktiebaserede investeringsforeningsbeviser,Dividends as well as gains / losses on shares and certain share-based investment fund certificates
IND,AKTIUDL,Udbytte af udenlandske aktier samt visse gevinster og tab på udenlandske aktier,Dividends on foreign shares as well as certain gains and losses on foreign shares
IND,AKTKOEB,"Aktieoptionsaflønning, skattepligtig","Share option remuneration, taxable"
IND,ALDER_ULT_INK,"Personens alder på referenecetidspunktet, 31. 12. det pågældende år","Age of the person at the time of reference, 31. 12. of the year in question"
IND,AMTSSK,Amtsskat,County tax
IND,ANDAKAS,Anden understøttelse fra arbejdsløshedskasser,Other support from unemployment funds
IND,ANDBISTANDYD,Andre ydelser fra kommuner og a-kasser,Other benefits from municipalities and unemployment insurance funds
IND,ANDFRAD,Fradrag i personlig indkomst,Deductions from personal income
IND,ANDOVERFORSEL,"Andre overførsler består af SU, boligstøtte og børnetilskud.","Other transfers consist of SU, housing benefit and child allowance."
IND,ANKAPPER,"Andre kapitalindkomster end renteindtægter, excl. kapitalindkomster i virksomhed og visse udenlandske indkomster","Capital income other than interest income, excl. Capital income in business and certain foreign income"
IND,ANPERIND,Anden personlig indkomst,Other personal income
IND,ANUDLAK,Gevinster og tab på udenlandske aktier som ikke er omfattet af en skattemæssig lempelse,Gains and losses on foreign shares that are not covered by a tax relief
IND,ARBBIDMVALM,Arbejdsmarkedsbidrag og særlig pension af erhvervsindkomst,Labor market contributions and special pension of business income
IND,ARBFORS,"Arbejdsløshedsforsikring, faglige kontingenter, efterløns- og fleksydelsesbidrag (Rubrik52)","Unemployment insurance, professional contingents, early retirement and flexible benefit contributions (Box 52)"
IND,ARBLHU,Arbejdsløshedsdagpenge,Unemployment benefits
IND,ARBLHUMV,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse,Unemployment benefits and education allowance
IND,ASKPLI,Anden arbejdsmarkedsbidragsfri a-skattepligtig indkomst,Other labor market contribution-free a-taxable income
IND,ATPABES,"Indbetalinger til ATP på A-satsen i forbindelse med et ansættelsesforhold, både arbejdstager og arbejdsgivers bidrag (AKM)","Payments to ATP at the A-rate in connection with an employment relationship, both employee and employer's contribution (AKM)"
IND,ATPBBES,ATP-bidrag på B-satsen i forbindelse med et ansættelsesforhold (AKM),ATP contribution on the B-rate in connection with an employment relationship (AKM)
IND,ATPCBES,ATP-bidrag på C-satsen i forbindelse med et ansættelsesforhold (AKM),ATP contribution on the C-rate in connection with an employment relationship (AKM)
IND,ATPDBES,ATP-bidrag på D-satsen i forbindelse med et ansættelsesforhold( fra 2009) (AKM),ATP contribution on the D-rate in connection with an employment relationship (from 2009) (AKM)
IND,ATPEBES,ATP-bidrag på E-satsen i forbindelse med et ansættelsesforhold(fra 2010) (AKM),ATP contribution on the E-rate in connection with an employment relationship (from 2010) (AKM)
IND,ATPFBES,ATP-bidrag på F-satsen i forbindelse med et ansættelsesforhold(fra 2011) (AKM),ATP contribution on the F-rate in connection with an employment relationship (from 2011) (AKM)
IND,ATPSAML,Samlet ATP-bidrag i året,Total ATP contribution per year
IND,BANKAKT,Indestående i pengeinstitut pr. 31. 12,Deposit at bank per. 31. 12
IND,BANKGAELD,Gæld til pengeinstitutter mv. pr. 31. 12,"Debt to banks, etc. pr. 31. 12"
IND,BARNEP,Dagpenge udbetalt af a-kasse ved orlov til børnepasning,Unemployment benefit paid by the unemployment insurance fund during leave for childcare
IND,BDAGP,Syge- og barselsdagpenge udbetalt af kommunerne til selvstændige,Sickness and maternity benefits paid by the municipalities to the self-employed
IND,BEFORDR,Det selvangivne beløb vedr. befordring (fradrag i skattepligtig indkomst),The tax-declared amount regarding. transportation (deduction in taxable income)
IND,BESKST,Beskæftigelsesstatus 1980 til 2001 (Indkomst/AKM),Employment status 1980 to 2001 (Income / AKM)
IND,BESKST02,Beskæftigelsesstatus fra 2002 (Indkomst/AKM),Employment status from 2002 (Income / AKM)
IND,BESKST13,Kode for personens væsentligste indkomst-kilde (INDKOMST/AKM),Code for the person's main source of income (INCOME / AKM)
IND,BOSBOERN,Boligstøtte og børnetilskud,Housing allowance and child allowance
IND,BRUTTO,Skattepligtig bruttoindkomst før fradrag i kr. ( 1980 -2013),Gross taxable income before deduction in DKK (1980 -2013)
IND,BUNSKA,Beregnet bundskat til staten,Calculated bottom tax to the state
IND,CORFRYNS,Skattemæssig værdi af frynsegoder i forbindelse med beskæftigelse,Tax value of fringe benefits in connection with employment
IND,CORLOEN,Kontant løn fra indberetninger til skats oplysningsseddelregister/e-indkomstregister,Cash salary from reports to tax information sheet register / e-income register
IND,CPRTJEK,CPR-tjek,CPR check
IND,CPRTYPE,CPR-type,CPR type
IND,DAGPENGE_KONTANT_13,Dagpenge og kontanthjælp mv. ialt,"Unemployment benefits and cash benefits, etc. Total"
IND,DAKTIE,Udbytte samt gevinst/tab på danske aktier og visse aktiebaserede investeringsforeningsbeviser,Dividends and gains / losses on Danish shares and certain share-based investment association certificates
IND,DELPENS,Delpension,Partial pension
IND,DISPON_13,Indkomst efter skat og renter tillagt beregnet lejeværdi af egen bolig.,Income after tax and interest plus calculated rental value of own home.
IND,DISPON_NY,"Indkomst efter skat og renter (samlet indkomst fratrukket renteudgifter, skat m.m.)","Income after tax and interest (total income less interest expenses, tax, etc.)"
IND,DSPSUM,Særligt pensionsbidrag,Special pension contribution
IND,EFTLEVHJ,Efterlevelseshjælp,Compliance assistance
IND,EFTLOEN,Efterløn ( fra 2009 ink.l fleksydelse),Early retirement pay (from 2009 incl. Flexi-benefit)
IND,EJD_SKAT_EJER_BOLIG,Ejendomsskat(grundskyld) for boligejere,Property tax (land debt) for homeowners
IND,EJD_SKAT_LEJER_BOLIG,Ejendomsskat(grundskyld) for lejere,Property tax (land tax) for tenants
IND,EJENDOMSVURDERING,Kontant ejendomsværdi af ejendomme i Danmark ejet pr. 31. 12,Cash property value of properties in Denmark owned per. 31. 12
IND,EJVSKAT,Ejendomsværdiskat,Property value tax
IND,ERHVERVSINDK,"Erhvervsindkomst, løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer","Business income, salary and net profit of self-employment including certain fees"
IND,ERHVERVSINDK_13,"Erhvervsindkomst, løn og nettooverskud af selvstændig virksomhed inkl. visse honorarer","Business income, salary and net profit of self-employment including certain fees"
IND,ERHVERVSINDK_GL,"Erhvervsindkomst, løn og nettooverskud af selvstændig virksomhed","Business income, salary and net profit of self-employment"
IND,ETABHUI,Indskud på etableringskonto,Deposit in establishment account
IND,FAGFKDB,Fagforeningskontingent i kr.- det beløb der kan fratrækkes på selvangivelsen,Trade union membership fee in DKK - the amount that can be deducted from the tax return
IND,FERIE_DAGPENGE,Dagpenge udbetalt af a_kasse til medlemmer på ferie,Unemployment benefit paid by a_kasse to members on holiday
IND,FLEXLON_TILSKUD,Tilskud til flexløn,Subsidy for flex salary
IND,FLEXYD,Fleksydelse,Flex performance
IND,FOLKEFORTID_13,Folke- og førtidspension mv.,"National and early retirement pension, etc."
IND,FORM,"Skattemæssigt beregnet værdi af nettoformuen ultimo året, ekskl. pensionsformuer","Tax calculated value of net assets at the end of the year, excluding pension assets"
IND,FORMREST_NY05,"Nettorestformue ultimo året, ekskl. pensionsformuer","Net residual assets at the end of the year, excluding pension assets"
IND,FORMUEINDK_BRUTTO,"Renteindtægter og realiserede tab/gevinster på værdipapirer, ekskl. indkomst fra selvstændig virksomhed samt ekskl. beregnet lejeværdi af egen bolig","Interest income and realized losses / gains on securities, excl. Income from self-employment and excl. Calculated rental value of own home"
IND,FORMUEINDK_NY,Samlede formueindkomster inkl. beregnet lejeværdi af egen bolig,Total property income incl. calculated rental value of own home
IND,FOSFUFRD,Pensionsbidrag privattegnet ordning med løbende udbetaling/ ratepension ( fradragsberttiget del),Pension contribution privately subscribed scheme with current payment / installment pension (deductible part)
IND,FRADRAG,Samlet beregnet fradrag i skattepligtig indkomst,Total calculated deduction in taxable income
IND,FRADRAGBES,Beskæftigelsesfradrag,Employment deduction
IND,FRDUDL,Skattemæssige fradrag for lempelsesberettigede indkomster fra udlandet,Tax deductions for eligible income from abroad
IND,FRIOFBEF,Markering for frikort til offentlig befordring,Marking for exemption card for public transport
IND,GAELD_TIL_OFF,Gæld til skat,Debt to tax
IND,GEVAFKAP,"Genvundne afskrivninger, kapitalindkomst. Fortjeneste/tab ved ophør af visse skibsprojekter, fortjeneste ved ophør af anden anpartsvirksomhed","Recovered depreciation, capital income. Profit / loss on termination of certain ship projects, profit on termination of other private limited liability company"
IND,GRON_CHECK,"Grøn check, kompensation for grønne afgifter","Green check, compensation for green taxes"
IND,HAEDGAVS,"Hædersgaver m.v. hvoraf arbejdsmarkedsbidrag ikke skal betales, og hvor der ikke er indeholdt foreløbig skat","Honorary gifts, etc. of which labor market contributions are not to be paid and where no preliminary tax is included"
IND,HONNY,"Honoraraflønning, arbejdsmarkedsbidragspligtig","Remuneration, subject to social security contributions"
IND,INDBEEFT,Indbetaling til efterløn (efterlønsbidrag),Payment for early retirement pay (early retirement contribution)
IND,INDESTPI,"Indestående i pengeinstitutter mv., kursværdi af obligationer og pantebreve i depot pr. 31. december","Deposits in banks, etc., market value of bonds and mortgage deeds in custody as of 31 December"
IND,INDSKIB,"Nettoindkomst ved skibsanparter, inkl. vindmøller omfattet af anpartsreglerne","Net income from ship shares, including wind turbines covered by the share rules"
IND,INTGRAYD,Integrationsydelse til flygtninge-kontanthjælp til udlændinge,Integration benefit for refugees - cash benefits for foreigners
IND,INVUDL,"Udlodning fra investeringsforening, hvor der er indeholdt udbytteskat",Distribution from an investment association where dividend tax is included
IND,JUBJUB,Jubilæumsgratiale og fratrædelsesgodtgørelse ekskl. pension,Anniversary gratuity and severance pay excl. pension
IND,KAPINDKP,Skattemæssig kapitalindkomst beregnet af Skat,Tax capital income calculated by Tax
IND,KAPITIALT,Samlet kapitalindkomst ekskl. aktieindkomster,Total capital income excl. share income
IND,KAPITPRIV,Samlet kapitalindkomst ekskl. aktieindkomster og ekskl. kapitalindkomst fra virksomhed,Total capital income excl. share income and excl. capital income from business
IND,KAPITVIRK,Samlet kapitalindkomst fra virksomhed,Total capital income from business
IND,KAPPENS,Skattemæssigt fradrag i personlig indkomst vedr. privattegnet kapitalpension og kapitalforsikring,Tax deduction in personal income regarding. privately subscribed capital pension and endowment insurance
IND,KAPVAERS,Reservefondsudlodninger fra kreditforeninger samt kapitalværdistigninger af pensionsordninger af typen kapitalforsikring,Reserve fund distributions from credit unions as well as capital value increases of pension schemes of the type endowment insurance
IND,KHFLYGT,Aktiveringsydelse- kontanthjælpsmodtagere,Activation benefit - cash benefit recipients
IND,KISKAT,Kirkeskat for medlemmer af folkekirken,Church tax for members of the Danish National Church
IND,KMSKAT,Kommuneskat,Municipal tax
IND,KOEJD,Kontant værdi af ejendomme i Danmark ejet pr. 31. 12,Cash value of properties in Denmark owned per. 31. 12
IND,KOM_RES_FORLOB,"Kommunalt ressource forløb, ressourceforløbsydelse","Municipal resource course, resource course benefit"
IND,KONTANTHJ_13,Kontanthjælp (underhold/forsørgelse),Cash benefits (alimony)
IND,KONTHJ,Skattepligtig kontanthjælp (underhold/forsørgelse),Taxable cash benefits (alimony)
IND,KONTSKFRI,Skattetfri kontanthjælp,Tax-free cash benefits
IND,KONT_GL,Kontanthjælpsydelser 1980 - 1993,Cash benefits 1980 - 1993
IND,KORSTOETT,Boligsikring og boligydelse,Housing insurance and housing benefit
IND,KORYDIAL,Udbetalte børnetilskud og familieydelser efter opregning til hele kalenderåret,Paid child allowances and family benefits after enumeration for the entire calendar year
IND,KURSAKT,Kursværdi af danske aktier og investeringsforeningsbeviser i depot pr. 31. december,Price value of Danish shares and investment association certificates in custody per. 31th December
IND,KURSUSG,Godtgørelse for kursus og kørsel i forbindelse med arbejdsmarkedsuddannelse og enkeltfag,Reimbursement for courses and driving in connection with labor market training and individual subjects
IND,LEDIGHEDSYDELSE,Ydelse udbetalt til ledige personer visiteret til flexjob samt enkelte andre ydelser.,Benefit paid to unemployed persons examined for flex jobs as well as a few other benefits.
IND,LEJEV_EGEN_BOLIG,Beregnet lejeværdi af egen bolig,Calculated rental value of own home
IND,LEJINDT,Den skattepligtige nettolejeindtægt ved udleje af helårsbolig en del af året samt sommerhus- og værelsesudlejning.,The taxable net rental income from renting out year-round housing for part of the year as well as holiday home and room rentals.
IND,LIGNFRDP,Ligningsmæssige fradrag,Income deductions
IND,LOENMIO,Øvrige lønmodtagerudgifter,Other employment expenses
IND,LOENMV,Lønindkomst i alt,Total wage income
IND,LOENMV_13,Lønindkomst i alt,Total wage income
IND,LOENSKPL,"Skattepligtig lønindkomst inkl. værdi af frynsegoder, og inkl. skattepligtig løn fra udlandet.","Taxable wage income incl. Value of fringe benefits, and incl. Taxable wage from abroad."
IND,MLLSKA,Beregnet mellemskat til staten,Calculated intermediate tax to the state
IND,NETOVSKUD,"Nettooverskud af selvstændig virksomhed inkl. visse honorarer, før kapitalindtægter og udgifter",Net profit from self-employment including certain fees before capital income and expenses
IND,NETOVSKUD_13,Nettooverskud af selvstændig virksomhed efter kapitalindtægter og udgifter,Net profit from self-employment after capital income and expenses
IND,NETOVSKUD_GL,"Nettooverskud af selvstændig virksomhed, før kapitalindtægter og udgifter",Net profit from self-employment before capital income and expenses
IND,NYSTGR,Stillingsgruppering 1980 til 1995 (AKM),Job grouping 1980 to 1995 (AKM)
IND,OBLAKT,Kursværdi af obligationer i depot (aktiver) pr. 31. 12,Market value of bonds in custody (assets) per. 31. 12
IND,OBLGAELD,Kursværdi af obligationsgæld pr. 31. 12,Price value of bond debt per. 31. 12
IND,OFFPENS,Folke- og førtidspension,National and early retirement pension
IND,OFFPENS_EFTERLON_13,"førtids- og folkepenion, varmehjælp, efterløn og fleksydelse.","early and public pension, heating assistance, early retirement pay and flexi-benefit."
IND,OFF_OVERFORSEL_13,Offentlige overførsler,Public transfers
IND,OMFANG,Omfang af skattepligt,Extent of tax liability
IND,OMFSKPL,Kode der angiver skattepligtens omfang,Code indicating the extent of the tax liability
IND,OVERFORSINDK,"Overførselsindkomster inkl. udbetalinger fra pensionskasser, ratepension mv.","Transfer income incl. Payments from pension funds, installment pension, etc."
IND,OVERG,Overgangsydelse,Transitional benefit
IND,OVRIG_DAGPENGE_AKAS_13,"Alle udbetalinger fra A-kasser bortset fra efterløn/overgangsydelse, arbejdsløshedsunderstøttelse og dagpenge under kursus/uddannelse","All payments from unemployment insurance funds, except for early retirement / transitional benefit, unemployment benefit and unemployment benefits during course / education"
IND,OVRIG_KONTANTHJALP_13,"Aktiverings, ledighed- og revalideringsydelse mv.","Activation, unemployment and rehabilitation benefit, etc."
IND,OVRIG_OVERFORSEL_13,"Andre overførsler. SU, boligstøtte, grøn check og børnetilskud.","Other transfers. SU, housing benefit, green check and child allowance."
IND,OVSKEJD,Beregnet lejeværdi af egen bolig (beregnet af SKAT),Calculated rental value of own home (calculated by SKAT)
IND,OVSKEJD02_NY,Beregnet lejeværdi af egen bolig,Calculated rental value of own home
IND,OVSKEJD07,Beregnet lejeværdi af egen bolig,Calculated rental value of own home
IND,PANTAKT,Kursværdi af pantebreve i depot (aktiver) pr. 31. 12.,Price value of mortgage deeds in custody (assets) per. 31. 12.
IND,PANTGAELD,Pantebrevsgæld pr. 31. 12,Mortgage debt per. 31. 12
IND,PASBOERN,"Andre ydelser fra kommuner end kontanthjælp, aktivering, revalidering, introduktionsydelse og efterlevelseshjælp","Services from municipalities other than cash benefits, activation, rehabilitation, introductory benefits and compliance benefits"
IND,PENBPA,Arbejdsmarkedsbidragspligtige pensionsudbetalinger,Labor market contribution pension payments
IND,PENBPB,Pensionsudbetalinger fra tidligere arbejdsgivere ikke arbejdsmarkedsbidragspligtig,Pension payments from previous employers are not subject to labor market contributions
IND,PENSBLB2,Pension udbetalt af forsikringsselskab eller pengeinstitut,Pension paid by insurance company or bank
IND,PENSBLB7,Pension fra pensionskasse,Pension from pension fund
IND,PERINDKIALT,Personindkomst i alt ekskl. beregnet lejeværdi af egen bolig og før fradrag af renteudgifter,Total personal income excl. calculated rental value of own home and before deduction of interest expenses
IND,PERINDKIALT_13,Personindkomst i alt ekskl. beregnet lejeværdi af egen bolig og før fradrag af renteudgifter,Total personal income excl. calculated rental value of own home and before deduction of interest expenses
IND,PERINDKP,Skattemæssig personlig indkomst beregnet af Skat,Tax personal income calculated by Tax
IND,PEROEVRIGFORMUE,"Aktieindkomst, overskud/underskud af skibsanparter, lejeindtægt sommerhus mv.","Share income, profit / loss of ship shares, rental income holiday home, etc."
IND,PEROEVRIGFORMUE_13,"Aktieindkomst, overskud/underskud af skibsanparter, lejeindtægt sommerhus mv. ekskl.formueindkomsti virksomhed","Share income, profit / loss of ship shares, rental income holiday home, etc. excluding property income company"
IND,PERSAMLINKNETRENT_NY,Samlede indkomster inkl. beregnet lejeværdi fratrukket fradragsberettige renteudgifter ved skatteligningen,Total income incl. calculated rental value less deductible interest expenses in the tax assessment
IND,PERSONINDK,"Personindkomst i alt uden formueindkomst, og før fradrag af arbejdsmarkedsbidrag og særlig pensionsbidrag.","Personal income in total without property income, and before deduction of labor market contributions and special pension contributions."
IND,PFRDKM,"Personfradrag til kommune, amt/sundhedsbidrag og kirke, som skatteyderen er berettiget til","Personal deduction for municipality, county / health contribution and church to which the taxpayer is entitled"
IND,PFRDST,"Personfradrag, staten yder skatteyderen ved beregning af statsskat","Personal deduction, the state provides the taxpayer when calculating state tax"
IND,PNR,Personnummer,Social security number
IND,PRE_SOCIO,Socioøkonomisk klassifikation (Indkomst/AKM),Socio-economic classification (Income / AKM)
IND,PRIVAT_PENSION_13,Udbetalte private pensioner.,Private pensions paid out.
IND,QAKTIE,Værdi af aktieoptionsaflønnning,Value of stock option pay
IND,QAKTIVF,Samlede aktiver ultimo året ekskl. pensionsformuer,Total assets at the end of the year excl. pension assets
IND,QAKTIVF_NY05,"Aktiver ultimo året, ekskl. pensionsformuer","Assets at the end of the year, excluding pension assets"
IND,QAKTSKA,"Skat af de aktieindkomster,der indberettes til skat.",Tax on the share income reported for tax purposes.
IND,QANDEN,Honorarer hvoraf der ikke skal betales arbejdsmarkedsbidrag og foreløbig skat (A-skat) men er skattepligtigt,Fees of which no labor market contribution and provisional tax (A-tax) are to be paid but are taxable
IND,QANDPENS,Udbetalinger fra arbejdsmarkedspensioner( ekskl.tjenestemandspensioner) og private pensioner,Payments from labor market pensions (excluding civil servant pensions) and private pensions
IND,QARBLOS,Udbetalinger fra arbejdsløshedskasser af arbejdsløshedsdagpenge og lign.,Payments from unemployment funds of unemployment benefits and the like.
IND,QBISTYD,"Kontanthjælps-, aktiverings-, revaliderings, integrations-, og ledighedsydelse","Cash benefit, activation, rehabilitation, integration and unemployment benefit"
IND,QBISTYD2,"Skattepligtig kontanthjælps-, aktiverings- og revalideringsydelser","Taxable cash benefits, activation and rehabilitation benefits"
IND,QEFTLON,"Efterløn, overgangsydelse og(fra2008 flexydelse)","Early retirement pay, transitional benefit and (from 2008 flexi benefit)"
IND,QHVIRKSK,Foreløbig betalt skat af beløb hævet i virksomhedsordningerne,Provisionally paid tax on amounts withdrawn in the corporate schemes
IND,QIVARK,Ydelse udbetalt af a-kasser til iværksættere,Benefit paid by unemployment insurance funds to entrepreneurs
IND,QMIDYD,"Midlertidige overførselsindkomster (kontanthjælpsydelser, dagpenge inkl. orlovsydelser)","Temporary transfer income (cash benefits, unemployment benefits including holiday pay)"
IND,QORLOV,Dagpengevedorlovtil børnepasning og sabbat,Unemployment benefits for childcare and the Sabbath
IND,QORLOV2,"Dagpenge udbetalt af a-kasse ved orlov til børnepasning, uddannelse og sabbat","Unemployment benefit paid by the unemployment insurance fund during leave for childcare, education and the Sabbath"
IND,QPASSIV,Skattemæssigt beregnet værdi af passiver ultimo året,Tax calculated value of liabilities at the end of the year
IND,QPASSIVN,Passiver ultimo året,Liabilities at the end of the year
IND,QPENSIALT,Alle pensionsindkomster,All pension income
IND,QPENSNY,"Folke- og førtidspension, delpension samt skattefrie tillæg til førtidspensionister.","National and early retirement pension, partial pension and tax-free supplements for early retirees."
IND,QPENSPRI,Udbetalinger fra arbejdsmarkedspensioner(ekskl.tjenestemandspension) og private pensioner fra Danmark,Payments from labor market pensions (excluding civil servant pensions) and private pensions from Denmark
IND,QRENTIND,Samlede skattepligtige renteindtægter fra Danmark undtagen renteindtægt i selvstændig virksomhed,Total taxable interest income from Denmark except interest income in self-employment
IND,QRENTUD2,Samlede fradragsberettigede renteudgifter inkl. virksomhedsrenter,Total deductible interest expenses incl. corporate interest rates
IND,QSAR,En række engangsindtægter samt fortjeneste ved salg af ejendom under visse forudsætninger,A number of non-recurring income as well as profits from the sale of property under certain conditions
IND,QSKATFRI,"Skattefri løn fra politi og retsvæsen Grønland, DANIDA m. fl.","Tax-free salary from the police and judiciary Greenland, DANIDA and others."
IND,QSPLINDK,Skattepligtig indkomst,Taxable income
IND,QTILPENS,"Udbetalte pensioner fra ATP (ATP, særlig og midlertidig pension)","Pensions paid from ATP (ATP, special and temporary pension)"
IND,QTJPENS,Tjenestemandspension inkl. pension til efterladte ægtefæller og børn.,Civil servant pension incl. pension for surviving spouses and children.
IND,QUDDYDL,Uddannelsesgodtgørelse til ledige,Education allowance for the unemployed
IND,QUDINK,Anden personlig indkomst fra udlandet end løn,Personal income from abroad other than salary
IND,RENTBANK,"Renteindtægt af obligationer, pantebreve i depot samt indestående i pengeinstitutter i Danmark, ekskl. renteindtægt i selstændig virksomhed","Interest income from bonds, mortgage deeds in custody and deposits in banks in Denmark, excluding interest income in self-employed companies"
IND,RENTEINDK,Samlede skattepligtige renteindtægter fra Danmark-fra 2010 ekskl. renteindtægt af pantebreve uden for depot),Total taxable interest income from Denmark-from 2010 excl. interest income on mortgage deeds outside custody)
IND,RENTPBED,"Renteindtægter af pantebreve der ikke er i depot inkl. renter af solgte og indfriede pantebreve, ekskl. renteindtægter fra udlandet og ekskl. renteindtægter i selvstændig virksomhed","Interest income from mortgage deeds that are not in custody, including interest on sold and redeemed mortgage deeds, excluding interest income from abroad and excluding interest income in self-employment"
IND,RENTUDGPR,"Renteudgifter, ekskl. renteudgifter fra udlandet og ekskl. renteudgifter i selvstændig virksomhed","Interest expenses, excluding interest expenses from abroad and excluding interest expenses in self-employment"
IND,RENTUDIO,"Øvrige rentudgifter, ekskl. lempelsesberettigede renteudgifter til udlandet og renteudgift i selvstændig virksomhed","Other interest expenses, excluding eligible interest expenses abroad and interest expenses in self-employment"
IND,RENTUPRI,"Renteudgift vedrørende prioritetsgæld, ekskl. renteudgifter til udlandet, ekskl. renteudgifter i selvstændig virksomhed","Interest expense relating to senior debt, excluding interest expenses abroad, excluding interest expenses in self-employment"
IND,RENTVIRK,"Renteindtægter, der vedrører virksomhed (inkl. nettorenteindtægter fra udlandet,) samt indkomstskattepligtige kursgevinster i virksomhed.",Interest income relating to business (incl. Net interest income from abroad) as well as income taxable capital gains in business.
IND,RESUINK,Restindkomst inkl. børnebidrag,Residual income incl. child support
IND,RESUINK_13,Restindkomst inkl. børnebidrag,Residual income incl. child support
IND,RESUINK_GL,Restindkomst inkl. honoraraflønning og børnebidrag,Residual income incl. remuneration and child support
IND,REVAL,Revalideringsydelse,Rehabilitation benefit
IND,RNTIOVIR,Renteindtægter fra Danmark i virksomhed,Interest income from Denmark in business
IND,RNTUDIOV,Renteudgifter i virksomhed,Interest expenses in business
IND,RNTUDSTU,Renteudgifter af studielån fra Økonomistyrelsen/fra SU-styrelsen,Interest expenses on student loans from the Danish Finance Agency / from the SU Board
IND,RNT_UDG_OFF_GAELD,Renteudgifter af gæld til det offentlige,Interest expenses on public debt
