use_in_application,reason_for_use,register_name,table_name,variable_name,variable_description,periode,known_data_break_changes,kendte_databrud_aendringer,variablebeskrivelse
1,"To determine cause of death (e.g. sudden, chronic).",Dødsårsagsregisteret,t_dodsaarsag_2,c_dodtilgrundl_acme,The code indicates the underlying cause of death of the death and is the central variable in the cause of death register. The underlying cause of death is the illness or injury that initiates a sequence of illnesses or events that directly lead to the immediate cause of death. appears from the variables c_dod_1 - c_dod_4 must (if they are different from c_dodtilgrundl_acme) be considered as additional causes of death in the process from the underlying cause of death to death. t_dodsaarsag_1 (1970-2001).,2002-,"The automatic coding was used from the data year 2002. Since 2013, the underlying ACME tables are used, which form the basis for IRIS. The years 2002-2004 were coded by agreement with the Danish Cancer Society and then the underlying cause of death is determined by ACME. Data for all 3 cohorts were subsequently manually validated by the then National Board of Health, year 2002 contains 59,688 certificates, of which 10,006 certificates were already entered in SEI and coded by the National Board of Health, years 2003 and 2004 include 58,835 and 57,559 certificates, respectively. has been coded by coding staff from SST accounted for about 8 per cent, while the rest has been coded by staff from KB In the period 2002-2004, no lack of certificates has been moved to the same extent. follow-up work on individual cases to the reporting doctors, and in particular did not obtain forensic pathological reports. these cohorts an under-representation of drug deaths and deaths due to poisoning.The code rules are updated periodically and in line with rule changes in the WHO, which may have meant data breaches for some specific codes. However, these have been implemented in Denmark (and in ACME) at a very different pace and scope, so that in practice it is not possible to obtain an accurate overview of all changes in code practice backwards in time. Specifically, however, there are updates of the ICD-10 classification for the area within the group of accidents during surgical and medical treatment, where changed code rules were introduced in 2007 with data use as a result. For the period 2002-2014, there are some adjustments to the international classification. A list of the national codes used during this period, which do not appear in the ICD-10 classification, is given in Appendix A. These are codes where the WHO uses only three digits, but where the Cause of Death Register includes 4 digits, where the fourth digit is a 9 number. In addition to the above codes, there are two codes in the Cause of Death Register which are not included in the WHO. These are the codes D386 and R990. Code D386: Tumor in airways of uncertain nature, which has been possible to use in the Cause of Death Register since 2007. The value appears only once in 2009 and four times in 2014. Code R990 is used in the register since 2002 and onwards and states that the death certificate does not has been received. As the Danish Health and Medicines Authority still receives certificates back in time, the occurrence of the value R990 will change at the next update of the register for recent years.","Den automatiske kodning blev anvendt fra dataåret 2002. Siden 2013 anvendes de bagliggende ACME-tabeller, der danner grundlag for IRIS.Årgangene 2002-2004 blev efter aftale kodet hos Kræftens Bekæmpelse og herefter er den tilgrundliggende dødsårsag fastslået af ACME. Data for alle 3 årgange er dog efterfølgende manuelt valideret af dengang Sundhedsstyrelsen. Årgang 2002 indeholder 59.688 attester, hvoraf 10.006 attester allerede var indtastet i SEI og kodet af Sundhedsstyrelsen. Årgang 2003 og 2004 omfatter hhv. 58.835 og 57.559 attester. Antallet af attester, der er blevet kodet af kodepersonale fra SST udgjorde omkring 8 pct., mens resten er blevet kodet af personale fra KB. I perioden 2002-2004 er der ikke i samme omfang blevet rykket for manglende attester. Der er ligeledes for disse årgange ikke foretaget det normale opfølgende arbejde på enkeltsager over for de indberettende læger, og specielt ikke indhentet retspatologiske rapporter. Der er derfor i disse årgange en underrepræsentation af narkotikadødsfald og dødsfald som følge af forgiftninger.Kodereglerne opdateres med jævne mellemrum og i takt med regelændringer i WHO, hvilket kan have betydet databrud for enkelte specifikke koder. Disse er imidlertid implementeret i Danmark (og i ACME) i meget uens takt og omfang, så det i praksis ikke er muligt at skaffe præcist overblik over alle ændringer i kodepraksis bagud i tid. Specifikt kan dog nævnes opdateringer af ICD-10 klassifikationen for området inden for gruppen af uheld under kirurgisk og medicinsk behandling, hvor ændrede koderegler blev indført i 2007 med databrug til følge. For perioden 2002-2014 er der enkelte tilpasninger af den internationale klassifikation. En liste over de nationale koder, der er anvendt i denne periode, og som ikke fremgår af ICD-10 klassifikationen fremgår af bilag A. Der er tale om koder, hvor WHO kun benytter tre cifrede, men hvor der i Dødårsagsregisteret indgår 4 cifre, hvor det fjerde cifre er et 9 tal.Udover ovennævnte koder, er der to koder i Dødsårsagsregisteret, som ikke indgår i WHO. Det drejer sig om koderne D386 og R990. Kode D386: Svulst i luftveje af usikker karakter, som har været muligt at anvende i Dødsårsagsregisteret siden 2007.Værdien optræder kun en enkelt gang i 2009 og fire gange i 2014.Kode R990 anvendes i registeret siden 2002 og frem og angiver, at dødsattesten ikke er blevet modtaget. Da Sundhedsdatastyrelsen stadig modtager attester bagud i tid, vil forekomsten af værdien R990 ændre sig ved næstkommende opdatering af registeret for de seneste år.","Koden angiver den tilgrundliggende dødsårsag for dødsfaldet og er den centrale variabel i dødsårsagsregisteret.Den tilgrundliggende dødsårsag er den sygdom eller skade, der starter en sekvens af sygdomme eller begivenheder, der direkte fører til den umiddelbare dødsårsag.De dødsårsager, som fremgår af variablene c_dod_1 – c_dod_4 skal (hvis de er forskellige fra c_dodtilgrundl_acme) betragtes som supplerende dødsårsager i forløbet fra den tilgrundliggende dødsårsag til døden.Det er indholdet af c_dodtilgrundl_acme, som ligger til grund for de generelle dødsårsagsstatistikker. Variablen svarer til variablen c_dod1 i datasættet t_dodsaarsag_1 (1970-2001)."
1,Maybe? Seems its needed based on others applications,Dødsårsagsregisteret,t_dodsaarsag_2,c_findested,"If the deceased has been found dead, the variable indicates the place of death of the deceased in general categories: Hospital or hospice, the residential address, known address or place without known address. See also the variable c_dodssted.",2002-,"There are data breaks for the variable after the introduction of the electronic death certificate in 2007. This is due to the fact that many death certificates - despite the introduction - were not reported electronically, but continued on paper. Although the proportion of electronic reports has increased significantly since Page 2 (the causes of death), the page 1 of the certificate - which, among other things, contains information about place of death or find - is still often only reported in paper version. For the period 2007 to 2012, 20-25 per cent of page 1 of the death certificate is missing in electronic form, where information on place of death or whereabouts is stated. An exception to this was 2009. Data are thus incomplete for the years 2007-2008, 2010 and onwards. For the year 2009, only almost 3 per cent of the information is missing. the period 2002-2006, hospice is considered a nursing home and is therefore listed as “own home. From 2007 onwards, hospice is considered a hospital.","Der er databrud for variablen efter indførelsen af den elektroniske dødsattest i 2007. Dette skyldes, at mange dødsattester – trods indførelsen – ikke blev indberettet elektronisk, men fortsat på papirblanket. Selvom andelen af elektroniske indberetninger siden er steget betydeligt for attestens ”side 2” (dødsårsagerne), bliver attestens ”side 1” - som blandt andet rummer information om døds- eller findested - fortsat ofte kun indberettet i papirversion.For perioden 2007 til 2012 mangler årligt 20-25 pct. af dødsattestens side 1 i elektronisk form, hvor oplysninger om døds- eller findested er angivet. En undtagelse herfra var 2009. Data er således ukomplette for åren 2007-2008, 2010 og frem. For året 2009 mangler kun knap 3 pct. af oplysningerne, Bemærk desuden, at i perioden 2002-2006 regnes hospice som et plejehjem og er derfor angivet som ”eget hjem”. Fra 2007 og frem regnes hospice som et sygehus.","Hvis afdøde er fundet død, angiver variablen findested for afdøde i overordnede kategorier: Sygehus eller hospice, bopælsadressen, kendt adresse eller sted uden kendt adresse.Se også variablen c_dodssted."
1,Maybe? Seems its needed based on others applications,Dødsårsagsregisteret,t_dodsaarsag_2,c_haendelsessted,Indicates in overall categories the place of event of the death if the cause of death is non-natural.,2002-,"There are data breaks for the variable after the introduction of the electronic death certificate in 2007. This is due to the fact that many death certificates - despite the introduction - were not reported electronically, but continued on paper. Although the proportion of electronic reports has increased significantly since Page 2 (the causes of death), the page 1 of the certificate - which, among other things, contains information about place of death or find - is still often only reported in paper version. For the period 2007 to 2012, 20-25 per cent of page 1 of the death certificate is missing in electronic form, where information on place of death or whereabouts is stated. An exception to this was 2009. Data are thus incomplete for the years 2007-2008, 2010 and onwards. For the year 2009, only almost 3 per cent of the information is missing. . in 491 cases.","Der er databrud for variablen efter indførelsen af den elektroniske dødsattest i 2007. Dette skyldes, at mange dødsattester – trods indførelsen – ikke blev indberettet elektronisk, men fortsat på papirblanket. Selvom andelen af elektroniske indberetninger siden er steget betydeligt for attestens ”side 2” (dødsårsagerne), bliver attestens ”side 1” - som blandt andet rummer information om døds- eller findested - fortsat ofte kun indberettet i papirversion.For perioden 2007 til 2012 mangler årligt 20-25 pct. af dødsattestens side 1 i elektronisk form, hvor oplysninger om døds- eller findested er angivet. En undtagelse herfra var 2009. Data er således ukomplette for årene 2007-2008, 2010 og frem. For året 2009 mangler kun knap 3 pct. af oplysningerne.I år 2005 forekommer værdien ”.” i 491 tilfælde.","Angiver i overordnede kategorier hændelsessted for dødsfaldet, hvis dødsårsagen er ikke-naturlig."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_liste14,The underlying cause of death stated in one of a total of 14 diagnostic groups.,2002-,,,Den tilgrundliggende dødsårsag angivet i en af i alt 14 diagnosegrupper.
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_liste49,The underlying cause of death stated in one of a total of 49 diagnosis groups. The 49 diagnosis groups are also called the DK list.,2002-,,,Den tilgrundliggende dødsårsag angivet i en af i alt 49 diagnosegrupper.De 49 diagnosegrupper kaldes også ”DK-listen”.
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_listea,"The underlying cause of death placed in the A and B list. The A and B list is made up of 24 subcategories and 108 subcategories, respectively. The categories are described below. C-list A contains the subcategories (A-groups) For the subcategories, see c_listB. 970 is coded. numbers 971-998. For persons without residence or with unknown residence code 999",2002-,,,"Den tilgrundliggende dødsårsag placeret ind i A- og B-listen. A- og B-listen er opbygget af hhv. 24 overkategorier og 108 underkategorier. Kategorierne er beskrevet nedenfor.C-listeA indeholder overkategorierne (A-grupperne). For underkategorierne, se c_listeB."
1,To ascertain the cause of death,Dødsårsagsregisteret,t_dodsaarsag_2,c_listeb,"The underlying cause of death placed in the A and B list. The A and B list is made up of 24 subcategories and 108 subcategories, respectively. The categories are described below.c_listB contains the subcategories (the B groups). For the subcategories, see c_listA.",2002-,,,"Den tilgrundliggende dødsårsag placeret ind i A- og B-listen. A- og B-listen er opbygget af hhv. 24 overkategorier og 108 underkategorier. Kategorierne er beskrevet nedenfor.c_listeB indeholder underkategorierne (B-grupperne). For overkategorierne, se c_listeA."
1,Maybe need this?,Dødsårsagsregisteret,t_dodsaarsag_2,c_region,The variable indicates the deceased's region of residence.,2002-,"The variable uses the current region codes, which are valid from 2007. Please note that these region codes are also used for the period 2002-2006, even though the region boundaries indicated by the codes were not yet in force. time series can be drawn up across the structural reform, however, calculations for the period 2002-06 will be immediately geographical and cannot be directly linked to a specific regional administration.","Variablen benytter de aktuelle regionskoder, som er gældende fra og med 2007. Vær opmærksom på, at disse regionskoder også benyttes for perioden 2002-2006, selvom regionsgrænserne, som koderne angiver, endnu ikke var gældende.Dette muliggør, at der kan udarbejdes tidsserier på tværs af strukturreformen. Dog vil beregninger for perioden 2002-06 umiddelbart være rent geografisk og kan ikke direkte knyttes til en konkret regional forvaltning.",Variablen angiver den afdødes bopælsregion.
1,To know sex of individual who died (e.g. for determining parent sex).,Dødsårsagsregisteret,t_dodsaarsag_2,c_sex,Indicates the sex of the deceased.,2002-,,,Angiver afdødes køn.
1,To determine whether the parents died during an individual's early life and childhood/to ascertain date of death,Dødsårsagsregisteret,t_dodsaarsag_2,d_dodsdato,"Indicates the date of death of the deceased. The time of death is the time when the onset of death is ascertained either according to the cardiac death criterion or the brain death criterion. If the criterion is brain death, the time when doctors after the prescribed examinations have determined the brain death. Circular No. 118 of 25 June on the finding of death in the event of irreversible cessation of all brain function. The field is empty if the deceased has been found dead. See also d_findedato and d_statdato.",2002-,,,"Angiver dødsdatoen for afdøde. Dødstidspunktet er det tidspunkt, hvor dødens indtræden er konstateret enten efter hjertedødskriteriet eller hjernedødskriteriet. Såfremt kriteriet er hjernedød, angives det tidspunkt, hvor lægerne efter gennemførelsen af de foreskrevne undersøgelser har konstateret hjernedødens indtræden, jf. cirkulære nr. 118 af 25. juni om dødens konstatering ved uopretteligt ophør af al hjernefunktion. Feltet er tomt, hvis afdøde er fundet død. Se også d_findedato og d_statdato."
1,Maybe? Seems its needed based on others applications,Dødsårsagsregisteret,t_dodsaarsag_2,d_statdato,Indicates date of death or find. Usually used for inventories over time.,2002-,,,Angiver døds- eller findedato.Benyttes som regel ved opgørelser over tid.
1,Register linkage,Dødsårsagsregisteret,t_dodsaarsag_2,k_cpr,Deceased's CPR number.,2002-,,,Afdødes CPR-nummer.
1,To validate with other data sources.,Dødsårsagsregisteret,t_dodsaarsag_2,v_alder,Indicates the age of the deceased in the entire year on his date of death or finding.,2002-,,,Angiver alderen på afdøde i hele år på dennes døds- eller findedato.
1,An approximate indicator for potentially higher trauma experienced from parental death if death occurred close to child's residence.,Dødsårsagsregisteret,t_dodsaarsag_2,c_bopkom,The variable indicates the deceased's municipality of residence.,2002-,"The variable uses the current municipal codes, which are valid from 2007. Please note that these municipal codes are also used for the period 2002 - 2006, even though the municipal boundaries that the codes indicate were not yet valid. time series can be prepared across the structural reform. However, calculations for this period 2002-06 will be immediately geographical and can not be directly linked to a specific municipal administration.","Variablen benytter de aktuelle kommunekoder, som er gældende fra og med 2007. Vær opmærksom på, at disse kommunekoder også benyttes for perioden 2002 – 2006, selvom kommunegrænserne, som koderne angiver, endnu ikke var gældende.Dette muliggør, at der kan udarbejdes tidsserier på tværs af strukturreformen. Dog vil beregninger for denne perioden 2002-06 umiddelbart være rent geografisk og kan ikke direkte knyttes til en konkret kommunal forvaltning.",Variablen angiver den afdødes bopælskommune.
1,Maybe? Seems its needed based on others applications,Dødsårsagsregisteret,t_dodsaarsag_2,c_dodsmaade,"Indicates the manner of death. A distinction is made between natural and non-natural death. In the case of non-natural death, it is specified whether it is an accident, act of violence or suicide. Natural death means death due to illness or old age. Non-natural death means death due to external influences. If the manner of death cannot be determined with certainty, this is stated as undisclosed. In the case of non-natural death, the death must always be reported to the police for possible forensic autopsy. This also applies to deaths that occur long after an accident, such as a fall, where the immediate cause of death is pneumonia.",2002-,"In cases where the Danish Health and Medicines Authority has not received page 2 of the death certificate, the c_dod method is set to 5 and the underlying cause of death is equal to R990.","I de tilfælde hvor Sundhedsdatastyrelsen ikke har modtaget dødsattestens side 2, sættes c_dodsmåden til 5 og den tilgrundliggende dødsårsag lig med R990.","Angiver dødsmåden. Der skelnes mellem naturlig og ikke-naturlig død. Ved ikke-naturlig død specificeres det, om der er tale om ulykke, voldshandling eller selvmord.Ved naturlig død forstås død som følge af sygdom eller alderdom. Ved ikke-naturlig død forstås død som følge af ydre påvirkning. Kan dødsmåden ikke fastslås med sikkerhed, angives denne som uoplyst.Ved ikke-naturlig død skal dødsfaldet altid indberettes til politiet m.h.p. evt. retslægeligt ligsyn.Det gælder også dødsfald, som indtræder længe efter et ulykkestilfælde, som f.eks. et fald, og hvor den umiddelbare dødsårsag er lungebetændelse."
1,To know the criteria of inclusion to the register,Det Nationale Diabetesregister,t_diabetes,d_blod2i5,"If the person meets the inclusion criterion Blood2i5, the variable will contain the date of fulfillment of the criterion. Otherwise the variable will be empty. The criterion blood2i5 is met when you have had at least two blood sugar measurements per year over a five-year period. This criterion follows the calendar year. for fulfillment, the date of the second blood glucose test is the fifth year.",1990 -,,,"Hvis personen opfylder inklusionskriteriet ”Blod2i5” vil variablen indeholde datoen for opfyldelse af kriteriet. Ellers vil variablen være tom.Kriteriet blod2i5 er opfyldt, når man over en femårig periode har haft mindst to blodsukkermålinger per år. Dette kriterium følger kalenderåret. Datoen for opfyldelse er datoen for den anden blodsukkermåling det femte år."
1,To know the criteria of inclusion to the register,Det Nationale Diabetesregister,t_diabetes,d_blod5i1,"Regular measurements of blood sugar are a strong indication that the person in question has diabetes. It is therefore one of several inclusion criteria in the NDR. The criterion blood5i1 is met for a person residing in Denmark and within a period of 365 days have had at least 5 blood glucose measurements performed.The date of fulfillment of the criterion is the date of the fifth of these glucose measurements.If the person meets the inclusion criterion Blood5i1 the variable will contain the date of fulfillment of the criterion. gestational diabetes, which can occur in connection with pregnancy, as gestational diabetes is of a transient nature, women with this diagnosis (ICD8 code: 63474, ICD10 code: DO244) should not be included in the register, therefore all registrations of indicators registrations one year from the date of admission for a contact with gestational diabetes.Other inclusion criteria is indicated by the variables d_blood2i5, d_foot, d_lpr, d_oad and d_ins.",1990 -,,,"Regelmæssige målinger af blodsukker er en stærk indikation af, at den pågældende person har diabetes. Det er derfor et af flere inklusionskriterier i NDR.Kriteriet blod5i1 er opfyldt for en person, der er bosat i Danmark og indenfor en periode af 365 dage har fået foretaget mindst 5 blodsukkermålinger. Datoen for opfyldelse af kriteriet er datoen for den femte af disse blodsukkermålinger.Hvis personen opfylder inklusionskriteriet ”Blod5i1” vil variablen indeholde datoen for opfyldelse af kriteriet. Ellers vil variablen være tom.Eneste undtagelse er kvinder med indikationer på gestationel diabetes, som kan opstå i forbindelse med graviditet. Da gestitionel diabetes er af forbigående karakter, skal kvinder med denne diagnose (ICD8-kode: 63474, ICD10-kode: DO244) ikke inkluderes i registeret. Derfor ses der bort fra alle registreringer af indikatorer registreringer et år fra og med indlæggelsesdatoen for en kontakt med gestationel diabetes.Øvrige inklusionskriterier fremgår af variablene d_blod2i5, d_fodt, d_lpr, d_oad og d_ins."
1,Date of death,Det Nationale Diabetesregister,t_diabetes,d_dodsdto,"The variable indicates the date of death of a person included in the register. If the person has not died within the current period limit, the variable will be empty.",1990 -,,,"Variablen angiver dødsdatoen for en person inkluderet i registeret.Hvis personen ikke er død inden for den aktuelle periodegrænse, vil variablen være tom."
1,To know the criteria of inclusion to the register,Det Nationale Diabetesregister,t_diabetes,d_fodt,"If a person has received the service Podiatry for Diabetic Patients, it has according to the rules been done according to a medical assessment and he must therefore be considered a diabetic patient and can thus be included in NDR. The criterion podiatry is met for a person living in Denmark and has had at least one service of the type Foot therapy for Diabetic patients.The date of fulfillment of the criterion is the date of the first of these services.If the person meets the inclusion criterion Foot, the variable will contain the date of fulfillment of the criterion.Otherwise the variable will be empty.Only exception is women with indications of gestational diabetes that may occur during pregnancy, as gestational diabetes is transient, women with this diagnosis (ICD8 code: 63474, ICD10 code: DO244) should not be included in the registry. all registrations of indicators registrations one year from the date of admission of a contact with the gestat ionic diabetes.Other inclusion criteria appear from the variables d_blod5i1, d_blod2i5, d_lpr, d_oad and d_ins. Over time, a person can meet several inclusion criteria.",1990 -,"Podiatrists' agreements and thus benefit patterns have changed over time. This is seen as a decrease in the number of people who first met the criterion 'podiatry' in 2001 and 2005-10, as well as a significant increase in 2011.","Fodterapeuternes overenskomster og dermed ydelsesmønster har ændret sig over tid. Dette ses som et fald i antallet af personer, der for første gang opfyldte kriteriet ’fodterapi’ i 2001og 2005-10, samt en betydelig stigning i 2011.","Hvis en person har modtaget ydelsen ”Fodterapi for Sukkersygepatienter”, er det efter reglerne sket efter lægefaglig vurdering og vedkommende må derfor regnes som diabetespatient og kan dermed inkluderes i NDR.Kriteriet ”fodterapi” er opfyldt for en person, der er bosat i Danmark og har haft mindst én ydelse af typen ”Fodterapi for Sukkersygepatienter”. Datoen for opfyldelse af kriteriet er datoen for den første af disse ydelser.Hvis personen opfylder inklusionskriteriet ”Fodt” vil variablen indeholde datoen for opfyldelse af kriteriet. Ellers vil variablen være tom.Eneste undtagelse er kvinder med indikationer på gestationel diabetes, som kan opstå i forbindelse med graviditet. Da gestitionel diabetes er af forbigående karakter, skal kvinder med denne diagnose (ICD8-kode: 63474, ICD10-kode: DO244) ikke inkluderes i registeret. Derfor ses der bort fra alle registreringer af indikatorer registreringer et år fra og med indlæggelsesdatoen for en kontakt med gestationel diabetes.Øvrige inklusionskriterier fremgår af variablene d_blod5i1, d_blod2i5, d_lpr, d_oad og d_ins. En person kan med tiden opfylde flere inklusionskriterier."
1,Date of inclusion,Det Nationale Diabetesregister,t_diabetes,d_inkldto,"The variable indicates the date on which the person is included in the register. This happens the first time he or she meets one of the total of 6 inclusion criteria blood5i1, blood2i5, podiatry, lpr, oad and ins. The variable is central in the register and is used e.g. calculations prevalence and incidence. The date of possible fulfillment of each of the 6 inclusion criteria is contained in the variables d_blod5i1, d_blod2i5, d_fodt, d_lpr, d_oad and d_ins. 1990. This is because the inclusion of eg LPR data from 1990 corresponds to contacts with a print-out date in 1990. These may well have an enrollment date before 1990, and it is this enrollment date that is used to indicate the date of inclusion.",1990 -,"It is estimated that it is only from 1997 onwards that newly included persons can be regarded as incidents. This means that statements of prevalence for a nationwide population can be made from 31 December 1996. The reason is that the inclusion criteria , are registered from and including certain intersections, 1990 (blood5i1, blood2i5, podiatry and lpr) and 1994 (oad and ins), respectively. Thus, some diabetic patients may have met a criterion before the intersection point - eg the criterion OAD before 1994 - but it has not been It is possible that the same patients have met this or another criterion only much later, and therefore a prior 'collection period' (1990-1996) has been necessary before the whole population could be estimated to be included in calculations.Calculations of incidence for 2011 showed an increase of 4,627 compared to 2010. The majority of this increase was due to an increase in the number of people with “feet api as the reason for inclusion. The reason for this was changes in the podiatrists' agreement with effect from June 2011, which immediately affected the performance pattern. The large additional number included in relation to 2010 is therefore not estimated to reflect such a large increase in the number of newly diagnosed diabetics from just 2010 to 2011. On the other hand, the increase more closely covers a certain underestimation in previous years.","Det skønnes, at det først er fra og med 1997, at nyinkluderede personer kan regnes som incidente.Det betyder opgørelser af prævalens for en landsdækkende population, kan foretages fra og med 31. december 1996.Årsagen er, at inklusionskriterierne, registreres fra og med bestemte skæringspunkter, hhv. 1990 (blod5i1, blod2i5, fodterapi og lpr) og 1994 (oad og ins). Nogle diabetespatienter kan således have opfyldt et kriterium inden skæringspunktet - fx kriteriet OAD inden 1994 - men det har ikke været muligt at registrere det på det pågældende tidspunkt. Og måske har de samme patienter først langt senere igen opfyldt dette eller et andet kriterium. Det har derfor været nødvendigt med en forudgående ’opsamlingsperiode’ (1990-1996), førend hele populationen kunne skønnes inkluderet i registeret.Beregninger af incidens for i 2011 viste en stigning på 4.627 i forhold til 2010. Størstedelen af denne stigning skyldtes en stigning i antallet af personer med ”fodterapi” som inklusionsårsag. Årsagen til dette var ændringer i fodterapeuternes overenskomst med virkning fra juni 2011, som umiddelbart påvirkede ydelsesmønsteret. Det store ekstra antal inkluderede i forhold til 2010 skønnes derfor ikke at afspejle en så stor stigning i antallet af nydiagnosticerede diabetikere fra netop 2010 til 2011. Derimod dækker stigningen nærmere over en vis underestimering i de forudgående år.","Variablen angiver den dato, hvor personen inkluderes i registeret. Dette sker første gang vedkommende opfylder en af de i alt 6 inklusionskriterier ”blod5i1”, ”blod2i5”, ”fodterapi”, ”lpr”, ”oad” og ”ins”.Variablen er central i registeret og benyttes fx ved beregninger prævalens og incidens.Datoen for evt. opfyldelse af hver af de 6 inklusionskriterier, er indeholdt i variablene d_blod5i1, d_blod2i5, d_fodt, d_lpr, d_oad og d_ins.Selvom data fra ovenstående kilder tidligst indkluderes fra 1990 kan personer godt optræde med en inklusionsdato før 1990. Dette skyldes at inklusionen af f.eks. LPR-data fra 1990 svarer til kontakter med en udskrivningsdato i 1990. Disse kan godt have en indskrivningsdato før 1990, og det er denne indskrivningsdato, der anvendes til at angive inklusionsdato."
1,To know the criteria of inclusion to the register,Det Nationale Diabetesregister,t_diabetes,d_ins,"If a person regularly redeems a prescription for insulin, it is assumed that he or she is most likely diabetic. The inclusion criterion INS is met for a person who lives in Denmark and within a period of 6 months has redeemed 2 prescriptions on insulin (ATC code A10A *). The date of fulfillment of the criterion is the date of the second of the two prescription redemptions. If the person meets the inclusion criterion INS, the variable will contain the date of fulfillment of the criterion. Otherwise the variable will be empty. indications of gestational diabetes that may occur during pregnancy As gestational diabetes is of a transient nature, women with this diagnosis (ICD8 code: 63474, ICD10 code: DO244) should not be included in the registry. registrations of indicators registrations one year from the date of admission for a contact with gestational diabetes. Other inclusion criteria are stated in variable one d_blod2i5, d_blod5i1, d_fodt, d_lpr, and d_oad.",1990 -,,,"Hvis en person regelmæssigt indløser en recept på insulin antages det, at vedkommende med stor sandsynlighed er diabetiker.Inklusionskriteriet ”INS” er opfyldt for en person, der er bosat i Danmark og inden for en periode af 6 måneder har indløst 2 recepter på insulin (ATC-kode A10A*). Datoen for opfyldelse af kriteriet er datoen for den anden af de to receptindløsninger.Hvis personen opfylder inklusionskriteriet ”INS” vil variablen indeholde datoen for opfyldelse af kriteriet. Ellers vil variablen være tom.Eneste undtagelse er kvinder med indikationer på gestationel diabetes, som kan opstå i forbindelse med graviditet. Da gestitionel diabetes er af forbigående karakter, skal kvinder med denne diagnose (ICD8-kode: 63474, ICD10-kode: DO244) ikke inkluderes i registeret. Derfor ses der bort fra alle registreringer af indikatorer registreringer et år fra og med indlæggelsesdatoen for en kontakt med gestationel diabetes.Øvrige inklusionskriterier fremgår af variablene d_blod2i5, d_blod5i1, d_fodt, d_lpr, og d_oad ."
1,To know the criteria of inclusion to the register,Det Nationale Diabetesregister,t_diabetes,d_ins,"If a person regularly redeems a prescription for insulin, it is assumed that he or she is most likely diabetic. The inclusion criterion INS is met for a person who lives in Denmark and within a period of 6 months has redeemed 2 prescriptions on insulin (ATC code A10A *). The date of fulfillment of the criterion is the date of the second of the two prescription redemptions. If the person meets the inclusion criterion INS, the variable will contain the date of fulfillment of the criterion. Otherwise the variable will be empty. indications of gestational diabetes that may occur during pregnancy As gestational diabetes is of a transient nature, women with this diagnosis (ICD8 code: 63474, ICD10 code: DO244) should not be included in the registry. registrations of indicators registrations one year from the date of admission for a contact with gestational diabetes. Other inclusion criteria are stated in variable one d_blod2i5, d_blod5i1, d_fodt, d_lpr, and d_oad.",1994 -,,,"Hvis en person regelmæssigt indløser en recept på insulin antages det, at vedkommende med stor sandsynlighed er diabetiker.Inklusionskriteriet ”INS” er opfyldt for en person, der er bosat i Danmark og inden for en periode af 6 måneder har indløst 2 recepter på insulin (ATC-kode A10A*). Datoen for opfyldelse af kriteriet er datoen for den anden af de to receptindløsninger.Hvis personen opfylder inklusionskriteriet ”INS” vil variablen indeholde datoen for opfyldelse af kriteriet. Ellers vil variablen være tom.Eneste undtagelse er kvinder med indikationer på gestationel diabetes, som kan opstå i forbindelse med graviditet. Da gestitionel diabetes er af forbigående karakter, skal kvinder med denne diagnose (ICD8-kode: 63474, ICD10-kode: DO244) ikke inkluderes i registeret. Derfor ses der bort fra alle registreringer af indikatorer registreringer et år fra og med indlæggelsesdatoen for en kontakt med gestationel diabetes.Øvrige inklusionskriterier fremgår af variablene d_blod2i5, d_blod5i1, d_fodt, d_lpr, og d_oad ."
